"ID","Field","Depth","Date","BulkD","ECe","ECpw","SoilGWC","PasteGWC","ssatNa","ssatCa","ssatMg","ssatK","ssatAlk","ssatNO3","ssatS","ssatCl","PasteNa","PasteCa","PasteMg","PasteK","PasteAlk","PasteNO3","PasteS","PasteCl","SoilCa","SoilMg","SoilNa","SoilK","SoilNO3","SoilS","CEC","cecH","cecK","cecCa","cecMg","cecNa","Qs","Qr","alpha","n","m","soil_type","ssatVWC","PasteVWC","soilKmeqkg","soilCameqkg","soilMgmeqkg","soilNameqkg","soilKeqkg","soilCaeqkg","soilMgeqkg","soilNaeqkg","soilESP","soilESR","ssatKmeqL","ssatCameqL","ssatMgmeqL","ssatNameqL","ssatClmeqL","ssatSmeqL","ssatNO3meqL","ssatAlkmeqL","ssatKmolL","ssatCamolL","ssatMgmolL","ssatNamolL","ssatClmolL","ssatSmolL","ssatNO3molL","ssatAlkmolL","ssatIonicStrength","ssatPredictedEC","ssatSAR","ssatDBCa","ssatDBMg","ssatDBNa","ssatDBK","ssatGaponCaMg","ssatGaponCaNa","ssatGaponCaK","PasteKmeqL","PasteCameqL","PasteMgmeqL","PasteNameqL","PasteClmeqL","PasteSmeqL","PasteNO3meqL","PasteAlkmeqL","PasteKmolL","PasteCamolL","PasteMgmolL","PasteNamolL","PasteClmolL","PasteSmolL","PasteNO3molL","PasteAlkmolL","PasteIonicStrength","PastePredictedEC","PasteSAR","PasteDBCa","PasteDBMg","PasteDBNa","PasteDBK","PasteGaponCaMg","PasteGaponCaNa","PasteGaponCaK"
11,"DL3",100,"8/24/2018",1.492794445,5.94,7.98,0.251661803,0.522897258,1684,587,354,25,1062,0.8,1414,655,868,471,244,10,97,2.1,1088,255,6131,910,606,241,1.8,285,41.5,0,1,74,18,6,NA,NA,NA,NA,NA,11,0.375679341537084,0.780578122048132,4.15,307.1,74.7,24.9,0.00415,0.3071,0.0747,0.0249,60,1.5,0.64,29.2913,29.1342,73.22032,18.45135,29.45362,0.01288,17.40618,0.00064,0.01464565,0.0145671,0.07322032,0.01845135,0.01472681,1.288e-05,0.01740618,0.142744485,11.2397232283465,13.5470708316258,0.198135220363689,0.205542921631311,0.662411727191377,0.65751155001871,0.239462845371556,11.1046516065246,0.5780693101014,0.256,23.5029,20.0812,37.74064,7.18335,22.66304,0.03381,1.58983,0.000256,0.01175145,0.0100406,0.03774064,0.00718335,0.01133152,3.381e-05,0.00158983,0.089648955,7.05897283464567,8.08463127346817,0.27207298798424,0.278636781757261,0.718895710478316,0.715488558597972,0.260034020810743,5.91789398163566,0.239709881236179
12,"HIGH1",15,"11/4/2018",1.406282041,5.08,6.83,0.234839324,0.656374767,1137,355,322,25,496,28.8,1111,324,635,466,279,22,114,10.1,1011,60,5341,1189,822,429,54,414,41.3,0,3,64,24,9,NA,NA,NA,NA,NA,12,0.33025032386178,0.92304804699766,12.39,264.32,99.12,37.17,0.01239,0.26432,0.09912,0.03717,90,8.99999999999999,0.64,17.7145,26.5006,49.43676,9.12708,23.14213,0.46368,8.12944,0.00064,0.00885725,0.0132503,0.04943676,0.00912708,0.011571065,0.00046368,0.00812944,0.10125571,7.9728905511811,10.5142837246817,0.251945509988089,0.258765142898071,0.704815570649042,0.701060619783345,0.302529889048863,5.24517752306693,0.202624288412364,0.5632,23.2534,22.9617,27.6098,1.6902,21.05913,0.16261,1.86846,0.0005632,0.0116267,0.01148085,0.0276098,0.0016902,0.010529565,0.00016261,0.00186846,0.083221365,6.55286338582677,5.74362807908415,0.284585455209521,0.290983890562749,0.727251759157436,0.724043246201628,0.373202338645411,2.48228088126251,0.151234644179751
13,"HIGH1",50,"11/4/2018",1.585158997,8.38,13.1,0.239252074,0.547329193,2319,506,605,21,591,89.7,2042,1033,1351,442,424,13,91,25.9,1619,279,7473,1258,1635,351,14.3,1077,55.9,0,2,66,19,13,NA,NA,NA,NA,NA,13,0.37925257765201,0.867603794604699,11.18,368.94,106.21,72.67,0.01118,0.36894,0.10621,0.07267,130,-4.33333333333333,0.5376,25.2494,49.7915,100.83012,29.09961,42.53486,1.44417,9.68649,0.0005376,0.0126247,0.02489575,0.10083012,0.02909961,0.02126743,0.00144417,0.00968649,0.188374755,14.8326578740157,16.4610018921377,0.158726688096489,0.166415485271068,0.625358597374816,0.619340663169488,0.200209970266931,7.15129150655872,0.245452400620472,0.3328,22.0558,34.8952,58.74148,7.85943,33.72377,0.41699,1.49149,0.0003328,0.0110279,0.0174476,0.05874148,0.00785943,0.016861885,0.00041699,0.00149149,0.125095865,9.85006811023622,11.0080198784766,0.21823176700403,0.225440548674479,0.679172968480035,0.674742846169944,0.225180715725838,4.12876786461401,0.151053277198426
14,"HIGH1",100,"11/4/2018",1.432892749,6.79,14.5,0.313591302,0.563869992,2862,457,682,20,717,22.1,2647,828,1314,181,232,7,91,20.3,1125,343,6273,1045,1244,263,4,542,46.2,0,1,68,19,12,NA,NA,NA,NA,NA,14,0.449342702785269,0.807965222915488,4.62,314.16,87.78,55.44,0.00462,0.31416,0.08778,0.05544,120,-6,0.512,22.8043,56.1286,124.43976,23.32476,55.13701,0.35581,11.75163,0.000512,0.01140215,0.0280643,0.12443976,0.02332476,0.027568505,0.00035581,0.01175163,0.21426189,16.8710149606299,19.8082055077617,0.14189123488196,0.149638171151206,0.607356337540963,0.600757329197197,0.17342733261267,10.6477841799264,0.520004129303334,0.1792,9.0319,19.0936,57.13272,9.66231,23.43375,0.32683,1.49149,0.0001792,0.00451595,0.0095468,0.05713272,0.00966231,0.011716875,0.00032683,0.00149149,0.085955525,6.76815157480315,15.235256576099,0.279130578504513,0.285601614460868,0.723644161087385,0.72035060107232,0.18998255202014,6.59871481460844,0.247236490775545
15,"HIGH2",15,"11/4/2018",1.406282041,8.23,13.54,0.269662617,0.67883549,2747,378,616,33,426,26.4,2472,593,1427,458,435,31,124,5.2,1748,103,5341,1189,822,429,54,414,41.3,0,3,64,24,9,NA,NA,NA,NA,NA,15,0.379221695416161,0.954634158380435,12.39,264.32,99.12,37.17,0.01239,0.26432,0.09912,0.03717,90,8.99999999999999,0.8448,18.8622,50.6968,119.43956,16.70481,51.49176,0.42504,6.98214,0.0008448,0.0094311,0.0253484,0.11943956,0.01670481,0.02574588,0.00042504,0.00698214,0.193248935,15.2164515748032,20.2528677942349,0.15530921309763,0.163013422291683,0.621826173147137,0.615696145374619,0.223266772256859,13.7998661083357,0.289934085024719,0.7936,22.8542,35.8005,62.04596,2.90151,36.41084,0.08372,2.03236,0.0007936,0.0114271,0.01790025,0.06204596,0.00290151,0.01820542,8.372e-05,0.00203236,0.128994115,10.1570169291339,11.4571631485051,0.213488874923518,0.220747224235697,0.675326968889608,0.670790980260041,0.294652229851291,6.03266804329529,0.229928049108466
16,"HIGH2",50,"11/4/2018",1.585158997,10.55,16.18,0.229227094,0.561213434,3125,391,628,37,518,45.1,2839,938,2109,382,458,31,99,9.9,2130,230,7473,1258,1635,351,14.3,1077,55.9,0,2,66,19,13,NA,NA,NA,NA,NA,16,0.363361390410265,0.889612524142366,11.18,368.94,106.21,72.67,0.01118,0.36894,0.10621,0.07267,130,-4.33333333333333,0.9472,19.5109,51.6844,135.875,26.42346,59.13637,0.72611,8.49002,0.0009472,0.00975545,0.0258422,0.135875,0.02642346,0.029568185,0.00072611,0.00849002,0.216562565,17.0521704724409,22.773453403945,0.140539309305393,0.148288837243854,0.605841428977959,0.599192417691099,0.172192112832039,11.2869486029293,0.505823936671066,0.7936,19.0618,37.6934,91.69932,6.4791,44.3679,0.15939,1.62261,0.0007936,0.0095309,0.0188467,0.09169932,0.0064791,0.02218395,0.00015939,0.00162261,0.15150011,11.929142519685,17.213860683229,0.189339392934035,0.196823957818831,0.654665029922938,0.649540039913766,0.200789257141711,7.17461158947842,0.400436890296952
17,"HIGH2",100,"11/4/2018",1.432892749,9.26,12.14,0.25484198,0.606960082,2168,507,578,15,677,3.8,2179,643,1723,382,377,18,85,9,1801,294,6273,1045,1244,263,4,542,46.2,0,1,68,19,12,NA,NA,NA,NA,NA,17,0.365161225282803,0.869708700430245,4.62,314.16,87.78,55.44,0.00462,0.31416,0.08778,0.05544,120,-6,0.384,25.2993,47.5694,94.26464,18.11331,45.38857,0.06118,11.09603,0.000384,0.01264965,0.0237847,0.09426464,0.01811331,0.022694285,6.118e-05,0.01109603,0.18021685,14.1903031496063,15.6168450151257,0.164737791518164,0.172395472928815,0.631433748982516,0.625606372356358,0.199190579499636,7.38870616729646,0.357853629542242,0.4608,19.0618,31.0271,74.91604,8.28198,37.51483,0.1449,1.39315,0.0004608,0.0095309,0.01551355,0.07491604,0.00828198,0.018757415,0.0001449,0.00139315,0.130202165,10.252138976378,14.9699056641269,0.212056320806949,0.219329342737913,0.674152496209264,0.669583941409082,0.215344256095942,6.3660208835127,0.466695749057199
18,"LOW1",15,"11/4/2018",1.227874362,2.046,4.86,0.248448721,0.633395275,827,533,319,21,472,32,949,479,233,208,67,7,122,4,320,89,5212,725,147,225,25.6,67.5,33.3,0,2,78,18,2,NA,NA,NA,NA,NA,18,0.305063814787591,0.77772981918444,6.66,259.74,59.94,6.66,0.00666,0.25974,0.05994,0.00666,20,0.25,0.5376,26.5967,26.2537,35.95796,13.49343,19.76767,0.5152,7.73608,0.0005376,0.01329835,0.01312685,0.03595796,0.01349343,0.009883835,0.0005152,0.00773608,0.101738205,8.01088228346457,6.99497076108781,0.251169285766022,0.257998487945283,0.704255587777601,0.700486466498369,0.229177092605181,17.0886521165957,0.254121535790206,0.1792,10.3792,5.5141,10.13084,2.50713,6.6656,0.0644,1.99958,0.0001792,0.0051896,0.00275705,0.01013084,0.00250713,0.0033328,6.44e-05,0.00199958,0.029999475,2.36216338582677,3.59379593980128,0.462464883622107,0.46638006600995,0.823322194839778,0.821974145881733,0.315276727843778,6.64008385032959,0.117261230436001
19,"LOW1",50,"11/4/2018",1.436232889,5.62,10.17,0.234165561,0.549823855,1758,519,413,7,488,5.4,1485,1090,823,379,236,5,118,4.7,993,268,5397,682,97,185,8.5,38.8,33.6,0,1,80,17,1,NA,NA,NA,NA,NA,19,0.336316280179336,0.789675103707767,3.36,268.8,57.12,3.36,0.00336,0.2688,0.05712,0.00336,10,0.111111111111111,0.1792,25.8981,33.9899,76.43784,30.7053,30.93255,0.08694,7.99832,0.0001792,0.01294905,0.01699495,0.07643784,0.0307053,0.015466275,8.694e-05,0.00799832,0.14852435,11.6948307086614,13.9686198733338,0.192251018591488,0.199710909032526,0.657259211669828,0.652210034767023,0.181991612582999,80.5530142422877,0.187396808452133,0.128,18.9121,19.4228,35.78404,7.54956,20.68419,0.07567,1.93402,0.000128,0.00945605,0.0097114,0.03578404,0.00754956,0.010342095,7.567e-05,0.00193402,0.081754735,6.43738070866142,8.17348370455979,0.287597111525823,0.293955153713124,0.729220915253713,0.726058366540486,0.2074075749442,40.0305294456149,0.142568752997305
20,"LOW1",100,"11/4/2018",1.604675356,7.03,21.81,0.26084007,0.548061056,4209,499,1057,45,881,0.8,3832,1805,1129,421,249,14,97,2.1,1222,397,5080,496,99,95,5.2,163,30.2,0,1,84,14,1,NA,NA,NA,NA,NA,20,0.418563632186315,0.879460070146536,3.02,253.68,42.28,3.02,0.00302,0.25368,0.04228,0.00302,10,0.111111111111111,1.152,24.9001,86.9911,183.00732,50.84685,79.82056,0.01288,14.43959,0.001152,0.01245005,0.04349555,0.18300732,0.05084685,0.03991028,1.288e-05,0.01443959,0.31644108,24.9166204724409,24.4672688006629,0.0972053754233087,0.104812850031179,0.550071129555499,0.541467062800276,0.0858716405006067,243.0725461045,1.5061669729819,0.3584,21.0079,20.4927,49.08892,11.18349,25.45426,0.03381,1.58983,0.0003584,0.01050395,0.01024635,0.04908892,0.01118349,0.01272713,3.381e-05,0.00158983,0.098082085,7.72299881889764,10.7763400540144,0.257164759603885,0.263919433613254,0.708546986279346,0.70488580034371,0.166575268309124,56.214631501203,0.408304342224669
21,"LOW2",15,"11/4/2018",1.227874362,1.765,3.55,0.25152032,0.635950215,369,515,186,15,407,8,599,255,158,222,68,7,143,2.7,281,54,5212,725,147,225,25.6,67.5,33.3,0,2,78,18,2,NA,NA,NA,NA,NA,21,0.308835352450036,0.780866964506888,6.66,259.74,59.94,6.66,0.00666,0.25974,0.05994,0.00666,20,0.25,0.384,25.6985,15.3078,16.04412,7.18335,12.47717,0.1288,6.67073,0.000384,0.01284925,0.0076539,0.01604412,0.00718335,0.006238585,0.0001288,0.00667073,0.06868897,5.40858031496063,3.54328109501877,0.317458764395302,0.323406811337598,0.747939021806408,0.745197194290299,0.296240532432385,7.32764043236835,0.174736845904124,0.1792,11.0778,5.5964,6.86984,1.52118,5.85323,0.04347,2.34377,0.0001792,0.0055389,0.0027982,0.00686984,0.00152118,0.002926615,4.347e-05,0.00234377,0.02800616,2.2052094488189,2.37924473541102,0.474279024610541,0.478036177227644,0.82861697768151,0.827348542124128,0.323397654012645,4.33148022058009,0.112813843880276
22,"LOW2",50,"11/4/2018",1.436232889,4.6,5.14,0.248433712,0.549332184,658,502,257,11,402,5,915,227,474,452,265,4,93,2.5,950,61,5397,682,97,185,8.5,38.8,33.6,0,1,80,17,1,NA,NA,NA,NA,NA,22,0.356808667910754,0.788968949646999,3.36,268.8,57.12,3.36,0.00336,0.2688,0.05712,0.00336,10,0.111111111111111,0.2816,25.0498,21.1511,28.60984,6.39459,19.05945,0.0805,6.58878,0.0002816,0.0125249,0.01057555,0.02860984,0.00639459,0.009529725,8.05e-05,0.00658878,0.086238005,6.79039409448819,5.95257956336442,0.278578455075107,0.285056796929839,0.7232760161418,0.71997371641094,0.22861390862115,28.0251911726416,0.274585995422588,0.1024,22.5548,21.8095,20.60952,1.71837,19.7885,0.04025,1.52427,0.0001024,0.0112774,0.01090475,0.02060952,0.00171837,0.00989425,4.025e-05,0.00152427,0.076150205,5.99607913385827,4.37588659369503,0.299699938224287,0.305893685056223,0.736978704863537,0.733994088294282,0.213901406883092,20.9008998372193,0.103427180719904
23,"LOW2",100,"11/4/2018",1.604675356,6.19,9.3,0.254037512,0.481064316,1550,444,537,9,632,9,1710,415,900,422,322,5,83,2.9,1212,139,5080,496,99,95,5.2,163,30.2,0,1,84,14,1,NA,NA,NA,NA,NA,23,0.407647735005954,0.771952052536196,3.02,253.68,42.28,3.02,0.00302,0.25368,0.04228,0.00302,10,0.111111111111111,0.2304,22.1556,44.1951,67.394,11.69055,35.6193,0.1449,10.35848,0.0002304,0.0110778,0.02209755,0.067394,0.01169055,0.01780965,0.0001449,0.01035848,0.146879165,11.5652885826772,11.700743982692,0.193894468178991,0.201340088872008,0.658710275119018,0.653703272612125,0.115803324788414,80.4610115507031,0.272981333245893,0.128,21.0578,26.5006,39.132,3.91563,25.24596,0.04669,1.36037,0.000128,0.0105289,0.0132503,0.039132,0.00391563,0.01262298,4.669e-05,0.00136037,0.095095705,7.48785078740157,8.02478535890649,0.26226422390354,0.268954448776745,0.712137267326493,0.708565216397662,0.146709269288497,44.5465442146973,0.144979987654501
